====[USD/JPY]====
[2013-03-01]判定:売[終値:1.3017↓(高値:1.3098↓,安値:1.2964↓), EMA12:1.3178↓,EMA26:1.3259↓,MACD:-0.0081↓,SIGNAL:-0.0037↓,分析値:-0.43↑, 変化値:1.3717↓(差:0.0700↑)]
[2013-03-04]判定:売[終値:1.3023↑(高値:1.3028↓,安値:1.2981↑), EMA12:1.3154↓,EMA26:1.3241↓,MACD:-0.0087↓,SIGNAL:-0.0047↓,分析値:-0.40↑, 変化値:1.3623↓(差:0.0600↓)]
[2013-03-05]判定:売[終値:1.3047↑(高値:1.3072↑,安値:1.3009↑), EMA12:1.3138↓,EMA26:1.3227↓,MACD:-0.0089↓,SIGNAL:-0.0056↓,分析値:-0.34↑, 変化値:1.3547↓(差:0.0500↓)]
[2013-03-06]判定:売[終値:1.2967↓(高値:1.3067↓,安値:1.2967↓), EMA12:1.3111↓,EMA26:1.3208↓,MACD:-0.0096↓,SIGNAL:-0.0064↓,分析値:-0.32↑, 変化値:1.3467↓(差:0.0500↑)]
[2013-03-07]判定:売[終値:1.3106↑(高値:1.3115↑,安値:1.2968↑), EMA12:1.3110↓,EMA26:1.3200↓,MACD:-0.0090↑,SIGNAL:-0.0069↓,分析値:-0.21↑, 変化値:1.3306↓(差:0.0200↓)]

====[AUD/JPY]====
[2013-02-22]判定:売[終値:96.42↑(高値:96.5100↑,安値:95.3100↑), EMA12:96.1619↑,EMA26:95.3375↑,MACD:0.8243↓,SIGNAL:1.0839↓,分析値:-0.26↑, 変化値:100.19↓(差:3.77↓)]
[2013-02-25]判定:売[終値:93.73↓(高値:97.0900↑,安値:93.5800↓), EMA12:95.7877↓,EMA26:95.2185↓,MACD:0.5693↓,SIGNAL:0.9809↓,分析値:-0.41↓, 変化値:101.48↑(差:7.75↑)]
[2013-02-26]判定:売[終値:94.05↑(高値:95.2500↓,安値:93.0500↓), EMA12:95.5204↓,EMA26:95.1319↓,MACD:0.3885↓,SIGNAL:0.8625↓,分析値:-0.47↓, 変化値:101.83↑(差:7.78↑)]
[2013-02-27]判定:売[終値:94.38↑(高値:94.5200↓,安値:92.9700↓), EMA12:95.3450↓,EMA26:95.0762↓,MACD:0.2687↓,SIGNAL:0.7437↓,分析値:-0.47↓, 変化値:101.55↓(差:7.17↓)]
[2013-02-28]判定:売[終値:94.52↑(高値:95.0600↑,安値:94.1100↑), EMA12:95.2180↓,EMA26:95.0350↓,MACD:0.1830↓,SIGNAL:0.6316↓,分析値:-0.45↑, 変化値:101.02↓(差:6.50↓)]
[2013-03-01]判定:売[終値:95.42↑(高値:95.5600↑,安値:94.4300↑), EMA12:95.2491↑,EMA26:95.0635↑,MACD:0.1856↑,SIGNAL:0.5424↓,分析値:-0.36↑, 変化値:99.90↓(差:4.48↓)]
[2013-03-04]判定:売[終値:95.26↓(高値:95.4700↓,安値:94.4400↑), EMA12:95.2508↑,EMA26:95.0781↑,MACD:0.1727↓,SIGNAL:0.4684↓,分析値:-0.30↑, 変化値:99.12↓(差:3.86↓)]
[2013-03-05]判定:売[終値:95.66↑(高値:95.7200↑,安値:95.0400↑), EMA12:95.3137↑,EMA26:95.1212↑,MACD:0.1926↑,SIGNAL:0.4133↓,分析値:-0.22↑, 変化値:98.26↓(差:2.60↓)]
[2013-03-06]判定:売[終値:96.27↑(高値:96.3400↑,安値:95.5700↑), EMA12:95.4609↑,EMA26:95.2063↑,MACD:0.2546↑,SIGNAL:0.3815↓,分析値:-0.13↑, 変化値:97.29↓(差:1.02↓)]
[2013-03-07]判定:買[終値:97.34↑(高値:97.5400↑,安値:96.0400↑), EMA12:95.7500↑,EMA26:95.3643↑,MACD:0.3856↑,SIGNAL:0.3823↑,分析値:0.00↑, 変化値:96.06↓(差:1.28↑)]

====[AUD/USD]====
[2013-02-22]判定:売[終値:1.0322↑(高値:1.0336↑,安値:1.0235↑), EMA12:1.0318↑,EMA26:1.0363↓,MACD:-0.0045↑,SIGNAL:-0.0043↓,分析値:-0.02↑, 変化値:1.0422↓(差:0.0100↓)]
[2013-02-25]判定:売[終値:1.0275↓(高値:1.0323↓,安値:1.0262↑), EMA12:1.0312↓,EMA26:1.0356↓,MACD:-0.0045↓,SIGNAL:-0.0043↓,分析値:-0.02↑, 変化値:1.0375↓(差:0.0100↑)]
[2013-02-26]判定:売[終値:1.0227↓(高値:1.0287↓,安値:1.0198↓), EMA12:1.0299↓,EMA26:1.0347↓,MACD:-0.0048↓,SIGNAL:-0.0044↓,分析値:-0.04↓, 変化値:1.0327↓(差:0.0100↑)]
